lipid_id	lipid_name	pmol_d00_2	pmol_d00_3	pmol_d00_4	pmol_d00_5	pmol_d03_1	pmol_d03_2	pmol_d03_3	pmol_d03_5	pmol_d07_1	pmol_d07_3	pmol_d07_4	pmol_d07_5	pmol_d14_1	pmol_d14_2	pmol_d14_3	pmol_d14_4	pmol_d14_5
CL 78:12;0	Cardiolipins		0.668156027793884	0.932667016983032	1.8189400434494	0.901582002639771	0.883925974369049	0.936609029769897	1.6601300239563	0.959725975990295	0.731342017650604	0.916634023189545		0.821214020252228	1.33545005321503	2.50305008888245	1.65626001358032	0.617204010486603
CL 78:13;0	Cardiolipins		0.774630010128021	0.955874025821686	1.13012003898621	0.645996987819672			1.07699000835419		0.838451027870178		0.930230975151062	0.591100990772247	1.4723299741745	1.58625996112823	0.689082026481628	0.89479798078537
CL 80:5;0	Cardiolipins	3.20121002197266					2.54664993286133		0.60904997587204		0.798838019371033				0.884464979171753	1.04219996929169		
CL 80:15;0	Cardiolipins						1.03331995010376		0.65447199344635							0.91464501619339	0.558229029178619	
CL 86:22;0	Cardiolipins										20.8939990997314							
CL 88:5;0	Cardiolipins							2.89755010604858									3.59861993789673	
CL 92:5;0	Cardiolipins			4.44329023361206												10.1050996780396	3.50935006141663	
Cer 36:1;2	Ceramide (d36:1)	5.33311273018368	5.7100850153637	6.0107853988151	7.62962800418656	8.09312385905355	7.89091162305032	9.21490321173286	11.9051254671967	6.87879579530291	8.02846022445306	8.5305741208516	7.48332638210954	4.60976524428672	8.36864482550726	10.8710580476187	6.73031345692373	6.31535560142498
Cer 36:2;2	Ceramide (d36:2)	1.41089765664376	1.73828423841698	1.87119762733029	2.3174017033675	2.29894536806995	1.9169389056549	2.55179954234102	3.27201839868147	1.4406956212683	2.02172696632863	1.92733202655388	1.67573426388594	1.08902803714208	2.17678279942724	3.29929520766846	2.02928249759243	1.94977404148303
Cer 36:2;4	Ceramide (q36:2)													0.337386912853362		0.379228886124249		
Cer 38:1;2	Ceramide (d38:1)	0.532882738061263	0.566918636755017	0.579599208433115	0.800421235343398	0.783535166560738	0.984015298410474	0.897791795445394	1.13276387780835	0.751328236534168	0.711935179697453	0.80401598507385	0.769574822713225	0.500202297787769	0.815029822505807	0.989715276583471	0.642790730575344	0.640459137749541
Cer 40:0;3	Ceramide (t40:0)											0.138354615336203	0.160821664757563					
Cer 40:1;2	Ceramide (d40:1)	0.193671573657985	0.178106522864526	0.175013741087727	0.180889723972253	0.29848621914803	0.305229067615252	0.28582037899887	0.351119277554267	0.291915825811887	0.253987212669931	0.326450649043948	0.274641348277239	0.199418232713007	0.298404721660242	0.307421300984078	0.196192997079946	0.258146737932263
Cer 40:1;3	Ceramide (t40:1)					0.454789753716499	0.524824533041033	0.663005258471955	0.507940993746441	0.445601561898773	0.46963462482322	0.547678507340766	0.381791803113838	0.285680233700849	0.323363307005226	0.209614286858619	0.134678339213336	0.128475761680623
Cer 40:2;2	Ceramide (d40:2)							0.181457162451388	0.187354709362552									
Cer 42:1;2	Ceramide (d42:1)	0.183825337717816	0.157102160882894	0.216217679697458	0.156743539897161	0.248960257527239	0.328873603366923	0.372520286613663	0.338061859738833	0.260714315330345	0.270821382321292	0.324298798538217	0.282934073625258	0.18906280604586	0.373809494953647	0.367276097662016	0.251309372036537	0.350889264958457
Cer 42:1;3	Ceramide (t42:1)					0.692382297463238	0.920400503907131	0.884930257281356	0.74584495384534	0.734073824519926	0.72242278345601	0.790980073792947	0.649843209419943	0.342700689536876	0.535090586280421	0.424623024044686	0.323665779058537	0.366542460356132
Cer 42:2;2	Ceramide (d42:2)	0.804482740780444	0.797744028309518	0.991431848639083	0.999795211549139	1.10142715425905	1.18825275485551	1.26208265796474	1.36458217194088	0.75834282895191	0.985494090892883	1.00738367398092	0.958946972395841	0.598126130965365	1.10141028677002	1.35784431288458	0.891753823810447	0.884477008318878
Cer 42:2;3	Ceramide (t42:2)					0.200791382876716	0.248394066833155	0.327815106810765	0.298473962771673	0.167555955561687	0.152300823809213	0.180248182724024	0.152209291059585					
Cer 44:0;2	Ceramide (d44:0)																	0.323834188594254
DAG 14:0;0_18:0;0	Diacylglycerol (14:0_18:0)	0.1508360508272	0.126412854360943	0.094434958730044	0.071825723976962	0.076285660264128	0.152831647004405	0.095701634124	0.093248604605359	0.024677792833919	0.132482956674967	0.10160958655953	0.064813689361249		0.122083984607484	0.091446396818783	0.060532716443054	0.064992647188529
DAG 16:0;0_16:0;0	Diacylglycerol (16:0/16:0)	1.69776734908914	1.61629225541874	1.42786722491168	1.246389080901	1.90779229508511	3.23328391657449	1.98211213467774	2.4756189584742	1.78981918119075	2.76246273636655	2.63550463502867	1.84873507049437	2.08009206880334	2.67310336808469	2.29537550321706	1.88443721522448	1.3775495573537
DAG 16:0;0_18:0;0	Diacylglycerol (16:0_18:0)	6.43595287208461	4.1684401045165	5.14800820209059	3.85942371062113	4.40710841092163	6.74935757591104	5.58658596208533	5.30547663736686	3.00130217018959	5.1322325595032	5.15671814432668	3.99265199148469	3.29945152971271	7.77397775926089	5.9418659884084	4.02800461068041	3.79424526715863
DAG 16:0;0_18:1;0	Diacylglycerol (16:0_18:1)	12.072098593727	8.10431148254804	10.7275432957598	11.1108866023599	8.55323745727955	12.2852233604635	10.5089344019884	9.92780562984886	7.00970375479938	9.71275364475869	8.99030683416797	8.78511072995756	7.91808650026048	14.4222548030424	14.3015389902765	9.12273224755746	8.78785279347494
